epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.19648,1.40227,2.90764,2.02113,0.29685,0.2,0.19089,0.04231,0.92498,2.89809,1.43297,0,0,0
2,8.4108,1.44937,3.37985,1.38889,0.27266,0.2,0.19052,0.05596,0.92762,2.85617,1.43914,1.9802e-05,1.9802e-05,1.9802e-05
3,12.5562,1.33433,3.02292,1.76339,0.13974,0.6,0.21219,0.06223,0.92496,2.80477,1.44799,3.9208e-05,3.9208e-05,3.9208e-05
4,15.9447,1.44787,3.35497,1.42586,0.11088,0.6,0.33795,0.12686,0.93601,2.7176,1.438,5.8218e-05,5.8218e-05,5.8218e-05
5,19.0172,1.4782,2.91765,1.76825,0.36726,0.4,0.40881,0.14951,0.9724,2.59825,1.44488,7.6832e-05,7.6832e-05,7.6832e-05
6,22.1038,1.26925,3.00711,1.32395,0.44693,0.2,0.50219,0.21433,1.00179,2.48141,1.46085,9.505e-05,9.505e-05,9.505e-05
7,27.6247,1.42121,2.7396,1.77438,0.415,0.298,0.52328,0.25059,1.02705,2.35219,1.47235,0.000112872,0.000112872,0.000112872
8,28.8445,1.15912,2.73482,1.19452,0.36363,0.69089,0.54738,0.33012,1.07365,2.10111,1.46147,0.000130298,0.000130298,0.000130298
9,36.9265,1.04853,2.3419,1.45304,0.40399,0.81463,0.60106,0.36792,1.07336,1.85084,1.40563,0.000147328,0.000147328,0.000147328
10,45.7559,1.15278,2.74729,1.13762,1,0.39619,0.67682,0.42685,1.06464,1.63958,1.34851,0.000163962,0.000163962,0.000163962
11,48.752,1.14355,2.5966,1.30331,1,0.53081,0.76081,0.51111,1.02585,1.54868,1.31146,0.0001802,0.0001802,0.0001802
12,52.6273,0.96602,1.85233,1.39547,1,0.75473,0.92,0.65398,0.92067,1.52667,1.21823,0.000196042,0.000196042,0.000196042
13,57.4994,1.10787,2.26909,1.10852,1,0.92301,0.995,0.77332,0.79944,1.49958,1.12235,0.000211488,0.000211488,0.000211488
14,60.7907,0.6645,1.16663,1.34049,0.9737,1,0.995,0.77065,0.78964,1.552,1.11663,0.000226538,0.000226538,0.000226538
15,66.3413,1.02135,1.50138,1.324,0.94103,1,0.995,0.74998,0.76763,1.63356,1.11041,0.000241192,0.000241192,0.000241192
16,90.746,1.0141,1.43127,1.26222,0.94045,1,0.995,0.76002,0.76431,1.71173,1.11563,0.00025545,0.00025545,0.00025545
17,95.4742,1.0237,1.37796,1.31167,0.95755,1,0.995,0.7561,0.79095,1.61998,1.13442,0.000269312,0.000269312,0.000269312
18,98.683,0.95899,1.15116,1.2227,0.95755,1,0.995,0.7561,0.79095,1.61998,1.13442,0.000282778,0.000282778,0.000282778
19,102.644,0.95894,1.19404,1.02871,0.97724,1,0.995,0.74926,0.8444,1.40731,1.18829,0.000295848,0.000295848,0.000295848
20,106.922,0.93846,1.10719,1.25953,0.97724,1,0.995,0.74926,0.8444,1.40731,1.18829,0.000308522,0.000308522,0.000308522
21,111.856,1.09948,1.09935,1.09706,0.98606,1,0.995,0.74601,0.91995,1.11072,1.28647,0.0003208,0.0003208,0.0003208
22,116.057,0.90511,0.80949,1.16927,0.98606,1,0.995,0.74601,0.91995,1.11072,1.28647,0.000332682,0.000332682,0.000332682
23,121.093,0.95323,0.89384,0.97544,0.99112,1,0.995,0.74603,0.98927,1.07293,1.39857,0.000344168,0.000344168,0.000344168
24,124.641,0.92895,0.81568,1.09895,0.99112,1,0.995,0.74603,0.98927,1.07293,1.39857,0.000355258,0.000355258,0.000355258
25,129.114,0.91856,0.9382,1.15451,1,0.97455,0.995,0.74603,0.8917,1.05034,1.31916,0.000365952,0.000365952,0.000365952
